yr_cde,trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,crs_capacity,crs_enrollment,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,first_name,preferred_name,comment_txt
2018,30,ACCT,402,A,ADVANCED ACCOUNTING II,3,24,24,M,,W,,F,12:00:00 PM,12:50:00 PM,Russin,Amy,,ACCT 302
2018,30,ACCT,402,B,ADVANCED ACCOUNTING II,3,24,10,M,,W,,F,1:00:00 PM,1:50:00 PM,Russin,Amy,,ACCT 302
2018,30,ACCT,404,A,ADV AUDITING,3,25,13,,T,,R,,1:00:00 PM,2:15:00 PM,Russin,Amy,,ACCT 403
2018,30,ACCT,406,A,ADVANCED TAX ACCT,3,25,8,,T,,,,6:30:00 PM,9:00:00 PM,Snyder,Richard,,ACCT 405
2018,30,ACCT,410,A,CONTEMP ACCT THEORY/PRACTICE,3,30,21,,T,,R,,8:00:00 AM,9:15:00 AM,McFeaters,Michelle,,ACCT 302 & SR STANDING
2018,30,ART,103,A,BEGINNING HAND BUILDING,3,15,17,,T,,R,,1:00:00 PM,2:15:00 PM,Rhoades,Kathy,,FEE REQUIRED
2018,30,ART,104,A,BEGINNING WHEEL THROWING,3,12,12,,T,,R,,10:05:00 AM,11:20:00 AM,Rhoades,Kathy,,FEE REQUIRED
2018,30,ART,105,A,PAINTING,3,20,17,M,,W,,,10:00:00 AM,11:15:00 AM,Sanders,Glen,,
2018,30,ART,202,A,HIST & APPREC OF ART II,3,25,21,,T,,R,,10:05:00 AM,11:20:00 AM,Drake,Joshua,,HUMA 301
2018,30,ART,207,A,ADVANCED CERAMICS,3,10,10,,,W,,,3:00:00 PM,5:30:00 PM,Rhoades,Kathy,,"ART 103  OR 104, FEE REQUIRED"
2018,30,ART,321,A,TEACHING ELEMENTARY ART,1,25,24,,T,,,,4:00:00 PM,4:50:00 PM,Sanders,Glen,,EDUC 327/SOPH STATUS
2018,30,ART,390,A,STUDY: STUDIO ART PRACTICUM,3,12,3,,T,,R,,2:30:00 PM,3:45:00 PM,Rhoades,Kathy,,
2018,30,ASTR,207,A,INTRO TO STARS/GALAXIES/COSMOLOGY,3,25,25,M,,W,,F,10:00:00 AM,10:50:00 AM,Clem,James,,
2018,30,ASTR,207,B,INTRO TO STARS/GALAXIES/COSMOLOGY,3,25,26,M,,W,,F,1:00:00 PM,1:50:00 PM,Clem,James,,
2018,30,BIOL,102,A,GENERAL BIOLOGY II,4,60,53,M,,W,,F,8:00:00 AM,8:50:00 AM,Dudt,Jan,,BIOL 101/INSTR OK; LAB FEE
2018,30,BIOL,102,B,GENERAL BIOLOGY II,4,55,49,M,,W,,F,9:00:00 AM,9:50:00 AM,Dudt,Jan,,BIOL 101/INSTR OK; LAB FEE
2018,30,BIOL,102,L,LABORATORY,0,25,25,M,,,,,2:00:00 PM,4:59:00 PM,Strain,Joy,,LAB FEE
2018,30,BIOL,102,M,LABORATORY,0,25,28,,T,,,,10:05:00 AM,12:59:00 PM,Jenkins,Stephen,,LAB FEE
2018,30,BIOL,102,N,LABORATORY,0,25,24,,T,,,,2:30:00 PM,5:29:00 PM,Strain,Joy,,LAB FEE
2018,30,BIOL,102,O,LABORATORY,0,25,25,,,,R,,2:30:00 PM,5:29:00 PM,Dudt,Jan,,LAB FEE
2018,30,BIOL,234,A,CELL BIOLOGY,4,40,11,M,,W,,F,9:00:00 AM,9:50:00 AM,Pazehoski,Kristina,,BIOL 233; LAB FEE
2018,30,BIOL,234,B,CELL BIOLOGY,4,40,42,M,,W,,F,10:00:00 AM,10:50:00 AM,Stauff,Devin,,BIOL  233; LAB FEE
2018,30,BIOL,234,M,LABORATORY,0,28,25,,T,,,,2:00:00 PM,4:59:00 PM,Stauff,Devin,,LAB FEE
2018,30,BIOL,234,N,LABORATORY,0,28,15,,,,R,,10:05:00 AM,12:59:00 PM,Stauff,Devin,,LAB FEE
2018,30,BIOL,234,O,LABORATORY,0,28,13,,,,R,,2:00:00 PM,4:59:00 PM,Stauff,Devin,,LAB FEE
2018,30,BIOL,314,A,IMMUNOLOGY,3,25,24,M,,W,,F,8:00:00 AM,8:50:00 AM,Stauff,Devin,,BIOL 234
2018,30,BIOL,320,A,CONSERVATION/WILDLIFE BIOLOGY,4,24,17,M,,W,,F,8:00:00 AM,8:50:00 AM,Brenner,Frederic,Fred,BIOL 234; LAB FEE
2018,30,BIOL,320,L,LABORATORY,0,24,17,M,,,,,2:00:00 PM,4:59:00 PM,Brenner,Frederic,Fred,LAB FEE
